Name,State,District,Signature Status
Victoria Spartz,IN,5,Not Signed
Jefferson Shreve,IN,6,Not Signed
André Carson,IN,7,Not Signed
Mark B. Messmer,IN,8,Not Signed
Erin Houchin,IN,9,Not Signed
Tracey Mann,KS,1,Not Signed
Derek Schmidt,KS,2,Not Signed
Sharice Davids,KS,3,Not Signed
Ron Estes,KS,4,Not Signed
James Comer,KY,1,Not Signed
Brett Guthrie,KY,2,Not Signed
Morgan McGarvey,KY,3,Signed
Thomas Massie,KY,4,Signed
Harold Rogers,KY,5,Not Signed
Andy Barr,KY,6,Not Signed
Steve Scalise,LA,1,Not Signed
Troy A. Carter,LA,2,Signed
Clay Higgins,LA,3,Not Signed
Mike Johnson,LA,4,Not Signed
Julia Letlow,LA,5,Not Signed
Cleo Fields,LA,6,Signed
Richard E. Neal,MA,1,Not Signed
James P. McGovern,MA,2,Signed
Lori Trahan,MA,3,Not Signed
Jake Auchincloss,MA,4,Not Signed
Katherine M. Clark,MA,5,Not Signed
Seth Moulton,MA,6,Not Signed
Ayanna Pressley,MA,7,Not Signed
Stephen F. Lynch,MA,8,Signed
William R. Keating,MA,9,Not Signed
Andy Harris,MD,1,Not Signed
Johnny Olszewski,MD,2,Signed
Sarah Elfreth,MD,3,Not Signed
Glenn Ivey,MD,4,Not Signed
Steny H. Hoyer,MD,5,Not Signed
April McClain Delaney,MD,6,Not Signed
Kweisi Mfume,MD,7,Not Signed
Jamie Raskin,MD,8,Not Signed
Chellie Pingree,ME,1,Not Signed
Jared F. Golden,ME,2,Not Signed
Jack Bergman,MI,1,Not Signed
John James,MI,10,Not Signed
Haley M. Stevens,MI,11,Not Signed
Rashida Tlaib,MI,12,Not Signed
Shri Thanedar,MI,13,Not Signed
John R. Moolenaar,MI,2,Not Signed
Hillary J. Scholten,MI,3,Not Signed
Bill Huizenga,MI,4,Not Signed
Tim Walberg,MI,5,Not Signed
Debbie Dingell,MI,6,Signed
Tom Barrett,MI,7,Not Signed
Kristen McDonald Rivet,MI,8,Signed
Lisa C. McClain,MI,9,Not Signed
Brad Finstad,MN,1,Not Signed
Angie Craig,MN,2,Not Signed
Kelly Morrison,MN,3,Not Signed
Betty McCollum,MN,4,Not Signed
Ilhan Omar,MN,5,Not Signed
Tom Emmer,MN,6,Not Signed
Michelle Fischbach,MN,7,Not Signed
Pete Stauber,MN,8,Not Signed
Wesley Bell,MO,1,Not Signed
Ann Wagner,MO,2,Not Signed
Robert F. Onder,MO,3,Not Signed
Mark Alford,MO,4,Not Signed
Emanuel Cleaver,MO,5,Not Signed
Sam Graves,MO,6,Not Signed
Eric Burlison,MO,7,Not Signed
Jason Smith,MO,8,Not Signed
Trent Kelly,MS,1,Not Signed
Bennie G. Thompson,MS,2,Signed
Michael Guest,MS,3,Not Signed
Mike Ezell,MS,4,Not Signed
Ryan K. Zinke,MT,1,Not Signed
Troy Downing,MT,2,Not Signed
Donald G. Davis,NC,1,Not Signed
Pat Harrigan,NC,10,Not Signed
Chuck Edwards,NC,11,Not Signed
Alma S. Find a Representative Adams,NC,12,Not Signed
Brad Knott,NC,13,Not Signed
Tim Moore,NC,14,Not Signed
Deborah K. Ross,NC,2,Signed
Gregory F. Murphy,NC,3,Not Signed
Valerie P. Foushee,NC,4,Not Signed
Virginia Foxx,NC,5,Not Signed
Addison P. McDowell,NC,6,Not Signed
David Rouzer,NC,7,Not Signed
Mark Harris,NC,8,Not Signed
Richard Hudson,NC,9,Not Signed
Julie Fedorchak,ND,AL,Not Signed
Mike Flood,NE,1,Not Signed
Don Bacon,NE,2,Not Signed
Adrian Smith,NE,3,Not Signed
Chris Pappas,NH,1,Not Signed
Maggie Goodlander,NH,2,Not Signed
Donald Norcross,NJ,1,Not Signed
LaMonica McIver,NJ,10,Not Signed
Mikie Sherrill,NJ,11,Not Signed
Bonnie Watson Coleman,NJ,12,Signed
Jefferson Van Drew,NJ,2,Not Signed
Herbert C. Conaway,NJ,3,Not Signed
Christopher H. Smith,NJ,4,Not Signed
Josh Gottheimer,NJ,5,Signed
Frank Pallone,NJ,6,Not Signed
Thomas H. Kean,NJ,7,Not Signed
Robert Menendez,NJ,8,Not Signed
Nellie Pou,NJ,9,Not Signed
Melanie A. Stansbury,NM,1,Not Signed
Gabe Vasquez,NM,2,Signed
Teresa Leger Fernandez,NM,3,Not Signed
Dina Titus,NV,1,Not Signed
Mark E. Amodei,NV,2,Not Signed
Susie Lee,NV,3,Not Signed
Steven Horsford,NV,4,Not Signed
Nick LaLota,NY,1,Not Signed
Daniel S. Goldman,NY,10,Not Signed
Nicole Malliotakis,NY,11,Not Signed
Jerrold Nadler,NY,12,Not Signed
Adriano Espaillat,NY,13,Not Signed
Alexandria Ocasio-Cortez,NY,14,Not Signed
Ritchie Torres,NY,15,Not Signed
George Latimer,NY,16,Not Signed
Michael Lawler,NY,17,Not Signed
Patrick Ryan,NY,18,Not Signed
Josh Riley,NY,19,Not Signed
Andrew R. Garbarino,NY,2,Not Signed
Paul Tonko,NY,20,Signed
Elise M. Stefanik,NY,21,Not Signed
John W. Mannion,NY,22,Signed
Nicholas A. Langworthy,NY,23,Not Signed
Claudia Tenney,NY,24,Not Signed
Joseph D. Morelle,NY,25,Not Signed
Timothy M. Kennedy,NY,26,Not Signed
Thomas R. Suozzi,NY,3,Signed
Laura Gillen,NY,4,Not Signed
Gregory W. Meeks,NY,5,Signed
Grace Meng,NY,6,Not Signed
Nydia M. Velázquez,NY,7,Not Signed
Hakeem S. Jeffries,NY,8,Not Signed
Yvette D. Clarke,NY,9,Not Signed
Greg Landsman,OH,1,Signed
Michael R. Turner,OH,10,Not Signed
Shontel M. Brown,OH,11,Not Signed
Troy Balderson,OH,12,Not Signed
Emilia Strong Sykes,OH,13,Not Signed
David P. Joyce,OH,14,Not Signed
Mike Carey,OH,15,Not Signed
David J. Taylor,OH,2,Not Signed
Joyce Beatty,OH,3,Not Signed
Jim Jordan,OH,4,Not Signed
Robert E. Latta,OH,5,Not Signed
Michael A. Rulli,OH,6,Not Signed
Max L. Miller,OH,7,Not Signed
Warren Davidson,OH,8,Not Signed
Marcy Kaptur,OH,9,Not Signed
Kevin Hern,OK,1,Not Signed
Josh Brecheen,OK,2,Not Signed
Frank D. Lucas,OK,3,Not Signed
Tom Cole,OK,4,Not Signed
Stephanie I. Bice,OK,5,Not Signed
Suzanne Bonamici,OR,1,Not Signed
Cliff Bentz,OR,2,Not Signed
Maxine Dexter,OR,3,Signed
Val T. Hoyle,OR,4,Not Signed
Janelle S. Bynum,OR,5,Signed
Andrea Salinas,OR,6,Not Signed
Brian K. Fitzpatrick,PA,1,Not Signed
Scott Perry,PA,10,Not Signed
Lloyd Smucker,PA,11,Not Signed
Summer L. Lee,PA,12,Not Signed
John Joyce,PA,13,Not Signed
Guy Reschenthaler,PA,14,Not Signed
Glenn Thompson,PA,15,Not Signed
